Industry,type,ISIN,Air Quality,Climate Exposure,Ecological Impact,Energy Management,Environmental Supply Chain Management,GHG Emissions Management,Sustainable Finance,Sustainable Product,Waste Management,Water Management,ENVIRONMENTAL SCORE,Mean Environmental,Air Quality Classification,Climate Exposure Classification,Ecological Impact Classification,Energy Management Classification,Environmental Supply Chain Management Classification,GHG Emissions Management Classification,Sustainable Finance Classification,Sustainable Product Classification,Waste Management Classification,Water Management Classification
Semiconductors,Environmental,TW0003048005,,,,7.031754971,,0.0,,0.0,0.0,5.202212334,3.6701901915,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Below Median,NaN,Leading,Below Median,Above Median
Semiconductors,Environmental,TW0002458007,,,,4.51583004,,9.583497047,,1.5,7.12589407,8.171001434,6.07575240601,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,TW0003450003,,,,1.34575057,,1.569771886,,0.0,5.496211052,2.21747303,1.8776206408999998,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Leading,NaN,Leading,Above Median,Below Median
Semiconductors,Environmental,TW0003006003,,,,4.52172327,,3.993629932,,1.5,7.863672256,6.218832016,4.84634242512,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,DE0005677108,,,,4.634376526,,1.906350851,,1.5,0.0,3.0,2.7781385684299997,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Leading,NaN,Above Median,Below Median,Below Median
Semiconductors,Environmental,TW0003529004,,,,3.626424789,,2.812995911,,1.5,0.0,6.231360435,3.56302503563,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Below Median,Above Median
Semiconductors,Environmental,TW0003714002,,,,1.847279668,,4.853638649,,3.0,4.292780876,4.146046638,3.3811768125299997,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Above Median,NaN,Above Median,Above Median,Leading
Semiconductors,Environmental,US29362U1043,,,,3.081918716,,1.386278749,,0.0,3.641810894,6.734704971,3.52580254181,2.945399878491722,NaN,NaN,NaN,Leading,NaN,Below Median,NaN,Leading,Above Median,Above Median
Semiconductors,Environmental,KR7039030002,,,,4.816035271,,2.464115381,,0.0,0.0,0.0,1.7651455808299998,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Leading,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,TW0003016002,,,,0.0,,0.342395991,,1.5,7.447881699,2.567026615,1.87388645022,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Above Median,Above Median,Below Median
Semiconductors,Environmental,TW0005351001,,,,3.519162416,,2.58932662,,0.0,0.0,4.684669018,2.7977618908,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Leading,Below Median,Above Median
Semiconductors,Environmental,KR7084370006,,,,3.076063156,,2.320897102,,0.0,0.0,0.0,1.22453557006,2.945399878491722,NaN,NaN,NaN,Leading,NaN,Leading,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,TW0002393006,,,,3.396913052,,2.285414457,,1.5,8.451677322,5.392615318,4.10364689583,2.945399878491722,NaN,NaN,NaN,Leading,NaN,Leading,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,TW0006288004,,,,4.663842678,,2.171042204,,3.0,8.966317177,8.150954247,5.59296945349,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Leading,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,TW0003035002,,,,6.562330246,,7.085217476,,3.0,7.796198368,6.238792896,6.098997034959999,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,TW0004961008,,,,7.66723156,,0.342395991,,1.5,3.0,6.841775894,4.96721371503,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Below Median,NaN,Above Median,Leading,Above Median
Semiconductors,Environmental,TW0003545000,,,,6.775591373,,2.253644705,,0.0,0.0,3.0,3.22565122355,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Leading,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,US3463751087,,,,5.16780138,,2.529523134,,0.0,0.0,0.0,1.8791784214200002,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Leading,Below Median,Below Median
