Isin,Year,yhat
US0316521006,2039,1109.2320213032506
US0316521006,2040,1286.0257505250916
US0316521006,2041,1261.8580136223309
US0316521006,2042,1225.7540913908724
US0316521006,2043,1177.8078744428974
US0316521006,2044,1354.601603665436
US0316521006,2045,1330.433866763523
US0316521006,2046,1294.329944532015
US0316521006,2047,1246.383727584161
US0316521006,2048,1423.1774568068192
TW0002493004,2023,6.3439746686368945
TW0002493004,2024,5.846263666359238
TW0002493004,2025,6.134982969280017
TW0002493004,2026,6.481502677303215
TW0002493004,2027,6.885436972029134
TW0002493004,2028,6.387725969754848
TW0002493004,2029,6.6764452726771815
TW0002493004,2030,7.022964980699599
TW0002493004,2031,7.426899275430181
TW0002493004,2032,6.929188273152174
TW0002493004,2033,7.217907576070931
TW0002493004,2034,7.564427284098151
TW0002493004,2035,7.968361578824714
TW0002493004,2036,7.4706505765452125
TW0002493004,2037,7.7593698794642405
TW0002493004,2038,8.105889587490797
TW0002493004,2039,8.509823882214665
TW0002493004,2040,8.012112879940762
TW0002493004,2041,8.300832182863138
TW0002493004,2042,8.647351890885552
TW0002493004,2043,9.051286185616085
TW0002493004,2044,8.553575183338738
TW0002493004,2045,8.842294486258018
TW0002493004,2046,9.188814194280553
TW0002493004,2047,9.592748489010617
TW0002493004,2048,9.09503748673297
AT0000A18XM4,2023,399.8908878474792
AT0000A18XM4,2024,389.2434560061126
AT0000A18XM4,2025,429.56661571830506
AT0000A18XM4,2026,469.7624252480695
AT0000A18XM4,2027,509.81560455833926
AT0000A18XM4,2028,499.1681727170512
AT0000A18XM4,2029,539.4913324293495
AT0000A18XM4,2030,579.6871419589672
AT0000A18XM4,2031,619.740321269428
AT0000A18XM4,2032,609.0928894281158
AT0000A18XM4,2033,649.4160491401886
