ISIN,Industry,ESG SCORE,ENVIRONMENTAL SCORE,SOCIAL SCORE,GOVERNANCE SCORE,ESG Score Range,Mean ESG,ESG Classification,E Classification,S Classification,G Classification
BE0165385973,Semiconductors,4.404503401774,4.13003023357,3.18402774814,5.99094327968,4-5,3.7648174326937798,Leading,Above Median,Leading,Above Median
US5950171042,Semiconductors,5.255828558516,5.2467440844199995,4.10852381592,6.4152459332400005,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
US5951121038,Semiconductors,6.086906675393999,4.75242176544,6.0528687669400005,7.900257797119999,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
JP3750400008,Semiconductors,2.52487136418,1.3549304521499999,1.86,4.7496639444,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
JP3910570005,Semiconductors,1.7944366454879996,0.04451147883,1.28852381592,4.6335830306,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
TW0002464005,Semiconductors,3.461865491856,1.9611599563499997,4.00699193948,4.91767975824,3-4,3.7648174326937798,Below Median,Below Median,Above Median,Leading
US55306N1046,Semiconductors,5.12212194254,4.9092921161,3.28,7.248016987,5-6,3.7648174326937798,Above Median,Above Median,Leading,Above Median
CNE100001X19,Semiconductors,1.636391080848,0.24,0.0,5.13463693616,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
US6098391054,Semiconductors,4.538289606028,4.77464379307,2.8359757995200003,5.925464496479999,4-5,3.7648174326937798,Above Median,Above Median,Leading,Above Median
CNE100003MN7,Semiconductors,4.1017966476400005,4.65856790287,2.36852381592,5.09270780572,4-5,3.7648174326937798,Leading,Above Median,Below Median,Leading
TW0002434008,Semiconductors,2.955325168692,0.9445114788299999,2.06852381592,6.52321144128,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
DE0006627201,Semiconductors,1.1985766124759998,0.0,1.08,2.9152553749199996,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Below Median
SE0000375115,Semiconductors,4.599421548732,5.0393588589,2.77590950016,5.83635051708,4-5,3.7648174326937798,Above Median,Above Median,Leading,Above Median
US63010N1054,Semiconductors,1.453707584328,0.0,0.0,4.845691947760001,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
TW0002408002,Semiconductors,5.2895784688720004,4.18241439352,7.7138795470399995,4.34149615784,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Below Median
CNE1000040F5,Semiconductors,2.8631011499039998,1.8217837557299998,2.7300000000000004,4.38462549204,2-3,3.7648174326937798,Below Median,Below Median,Leading,Below Median
