Isin,Year,SR001,SR002,SR003,SR004
US83089J1088,2018,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
KYG8232Y1017,2018,3.799999952,4.193453312,1.920129895,5.541047096
KYG8020E1199,2018,2.720000029,2.341090202,1.848513126,4.31315136
DE0005178008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
FR0013227113,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0005471007,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003055000,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100003RN6,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
NL0000226223,2018,4.789999962,4.174474239,3.158406734,7.692565441
DE000A1K0235,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3322930003,2018,3.720000029,2.998911381,3.688910007,4.795613766
TW0002401007,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE000001P60,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US87157D1090,2018,1.649999976,0,1.624035358,5.091356754
TW0001582005,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002338001,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006278005,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002340007,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3468000009,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0004967005,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
IT0005482333,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003030003,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100000825,2018,1.960000038,1.27314651,0.857391536,4.566575527
KR7064760002,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3571400005,2018,4.760000229,5.109193802,3.292785168,5.931175709
JP3571800006,2018,2.50999999,3.206311226,0.857391536,3.606076956
JP3580200008,2018,1.850000024,0.998767436,1.833145976,3.230070114
TW0006271000,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE1000006C3,2018,1.379999995,0.041486021,0.857391536,4.869416714
TW0008021007,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3637280003,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3555700008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
IL0010823792,2018,2.769999981,1.875572681,1.286757827,6.285913944
TW0002451002,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002330008,2018,4.210000038,4.021039009,2.834295988,6.073101997
TW0002426004,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CH0033361673,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US90385V1070,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3126190002,2018,2.220000029,2.014124155,0.857391536,4.306217194
TW0002303005,2018,3.529999971,2.77863884,3.032142878,5.217902184
TW0008277005,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE000001M14,2018,1.299999952,0,0.857391536,4.543797016
KR7077500007,2018,1.269999981,0,0.857391536,4.421887398
MYL5005OO003,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US91347P1057,2018,4.28000021,4.098181725,2.943176985,6.109189034
JP3829900004,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0005347009,2018,3.579999924,2.061658621,4.311640739,5.24828577
US9224171002,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100004413,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002388006,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006789001,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US9282981086,2018,1.75,0,1.624035358,5.612641811
US92835K1034,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002455003,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006182009,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0008110008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002436003,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100002XM8,2018,1.129999995,0,0.127523139,5.081190586
TW0003105003,2018,3.25999999,2.869908094,3.060681105,4.024317741
TW0002344009,2018,3.650000095,2.628670454,4.639740467,4.172410011
JP3154370005,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US9778521024,2018,3.960000038,3.515501976,2.21996665,6.79659462
KR7030530000,2018,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
KR7240810002,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BE0974310428,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3990600003,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100001R90,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100001DJ8,2018,1.340000033,0,0.857391536,4.769135475
US0079031078,2019,6.559999943,6.881197453,5.692252636,7.025006294
US0326541051,2019,4.820000172,4.858047009,3.254464149,6.586396694
US0382221051,2019,6.699999809,6.440565586,5.64056015,8.212253571
US11135F1012,2019,2.109999895,0,1.427484035,7.944067478
US29355A1079,2019,3.039999962,0.130537882,6.115842342,5.84585762
US3364331070,2019,5.869999886,5.450805187,5.901413918,6.402565479
US4581401001,2019,5.829999924,5.481615543,4.582836151,7.734704018
US4824801009,2019,2.289999962,0.74273932,1.286757827,6.716770649
US5128071082,2019,5.119999886,5.524896145,2.400073528,7.974604607
US5950171042,2019,4.159999847,3.913857222,2.959922552,5.888130665
US5951121038,2019,5.099999905,3.794142246,4.390059471,7.954086781
US6098391054,2019,2.710000038,1.366176844,2.369695425,5.416920662
US67066G1040,2019,6.289999962,6.082006931,6.216186047,6.64784956
NL0009538784,2019,5.380000114,3.589585543,7.00346756,6.468477249
US6821891057,2019,4.519999981,2.991784096,4.166274071,7.394651413
US74736K1016,2019,2.460000038,0.232578054,2.528281927,7.092000484
